Project_ID,Room_Type,Architecture_Style,Area_sqft,Budget_INR,Primary_Material,Furniture_Cost_INR,Lighting_Cost_INR,Flooring_Cost_INR,Paint_Cost_INR,Total_Cost_INR,City
P001,Living Room,Modern,320,300000,Teak Wood,145000,28000,42000,18000,233000,Bengaluru
P002,Bedroom,Minimalist,180,175000,Oak Wood,72000,15000,24000,10000,121000,Mysuru
P003,Kitchen,Contemporary,220,350000,Granite,135000,25000,48000,16000,224000,Hyderabad
P004,Bathroom,Modern,140,180000,Marble,65000,12000,30000,9000,116000,Chennai
P005,Dining Room,Traditional,200,220000,Teak Wood,95000,18000,28000,12000,153000,Mumbai
P006,Home Office,Industrial,160,150000,Metal,58000,16000,22000,8000,104000,Delhi
P007,Living Room,Scandinavian,350,325000,Oak Wood,130000,30000,45000,20000,225000,Pune
P008,Bedroom,Contemporary,210,200000,MDF,80000,18000,27000,12000,137000,Kochi
P009,Kitchen,Modern,250,400000,Marble,155000,30000,52000,18000,255000,Bengaluru
P010,Bathroom,Minimalist,120,150000,Granite,55000,10000,25000,8000,98000,Mysuru
P011,Dining Room,Modern,230,260000,Oak Wood,105000,20000,32000,14000,171000,Hyderabad
P012,Home Office,Minimalist,190,180000,MDF,70000,15000,25000,10000,120000,Chennai
P013,Living Room,Traditional,400,380000,Teak Wood,175000,32000,55000,22000,284000,Mumbai
P014,Bedroom,Scandinavian,200,190000,Oak Wood,78000,16000,25000,11000,130000,Delhi
P015,Kitchen,Industrial,280,350000,Metal,140000,28000,50000,16000,234000,Pune
P016,Bathroom,Contemporary,150,190000,Marble,68000,14000,32000,9000,123000,Kochi
P017,Dining Room,Minimalist,210,210000,MDF,82000,17000,28000,12000,139000,Bengaluru
P018,Home Office,Modern,175,175000,Glass,65000,18000,23000,9000,115000,Mysuru
P019,Living Room,Contemporary,330,310000,Marble,140000,27000,44000,19000,230000,Hyderabad
P020,Bedroom,Traditional,240,230000,Teak Wood,98000,19000,30000,13000,160000,Chennai
P021,Kitchen,Scandinavian,230,320000,Oak Wood,125000,25000,45000,15000,210000,Mumbai
P022,Bathroom,Industrial,135,165000,Metal,60000,13000,28000,9000,110000,Delhi
P023,Dining Room,Contemporary,260,280000,Glass,115000,22000,35000,15000,187000,Pune
P024,Home Office,Traditional,180,190000,Teak Wood,76000,17000,25000,11000,129000,Kochi
P025,Living Room,Minimalist,300,280000,MDF,110000,24000,40000,18000,192000,Bengaluru
P026,Bedroom,Modern,190,185000,Oak Wood,75000,16000,26000,10000,127000,Mysuru
P027,Kitchen,Traditional,270,380000,Granite,150000,28000,52000,17000,247000,Hyderabad
P028,Bathroom,Scandinavian,125,155000,Marble,57000,11000,26000,8000,102000,Chennai
P029,Dining Room,Industrial,240,250000,Metal,100000,20000,34000,13000,167000,Mumbai
P030,Home Office,Contemporary,200,210000,Glass,82000,18000,28000,11000,139000,Delhi
P031,Living Room,Modern,360,340000,Oak Wood,150000,30000,47000,21000,248000,Pune
P032,Bedroom,Minimalist,170,165000,MDF,68000,14000,23000,9000,114000,Kochi
P033,Kitchen,Contemporary,240,370000,Granite,145000,27000,50000,17000,239000,Bengaluru
P034,Bathroom,Modern,145,175000,Marble,64000,12000,29000,9000,114000,Mysuru
P035,Dining Room,Traditional,220,240000,Teak Wood,102000,19000,30000,13000,164000,Hyderabad
P036,Home Office,Industrial,155,145000,Metal,55000,15000,21000,8000,99000,Chennai
P037,Living Room,Scandinavian,340,320000,Oak Wood,135000,28000,44000,19000,226000,Mumbai
P038,Bedroom,Contemporary,225,215000,MDF,85000,19000,29000,12000,145000,Delhi
P039,Kitchen,Modern,260,410000,Marble,160000,31000,54000,19000,264000,Pune
P040,Bathroom,Minimalist,115,145000,Granite,52000,10000,24000,8000,94000,Kochi
P041,Dining Room,Modern,215,245000,Oak Wood,98000,19000,30000,13000,160000,Bengaluru
P042,Home Office,Minimalist,185,175000,MDF,69000,15000,24000,10000,118000,Mysuru
P043,Living Room,Traditional,390,370000,Teak Wood,170000,31000,53000,21000,275000,Hyderabad
P044,Bedroom,Scandinavian,205,195000,Oak Wood,80000,17000,26000,11000,134000,Chennai
P045,Kitchen,Industrial,290,360000,Metal,145000,29000,51000,17000,242000,Mumbai
P046,Bathroom,Contemporary,155,195000,Marble,70000,14000,33000,9000,126000,Delhi
P047,Dining Room,Minimalist,205,205000,MDF,79000,16000,27000,11000,133000,Pune
P048,Home Office,Modern,170,170000,Glass,63000,17000,22000,9000,111000,Kochi
P049,Living Room,Contemporary,345,325000,Marble,145000,28000,46000,20000,239000,Bengaluru
P050,Bedroom,Traditional,235,225000,Teak Wood,96000,18000,30000,13000,157000,Mysuru
